variables,type,units,values,description
towerse.post.hoop_stress_euro,output,Pa,"[[  -1578.23787634  -56134.60249863]
 [  -3436.59184079 -122232.34521544]
 [  -3976.73790481 -141444.20487818]
 [  -5070.47383352 -180346.09192399]
 [  -5191.59061283 -184653.96107623]
 [  -5172.29616512 -183967.69814393]]",
towerse.post.constr_stress,output,,"[[0.66909629 0.45817146]
 [0.60475072 0.41217612]
 [0.51223527 0.34549972]
 [0.45361541 0.29787516]
 [0.23906736 0.141887  ]
 [0.08268946 0.05429381]]",
towerse.post.constr_shell_buckling,output,,"[[0.66770985 0.33996079]
 [0.53427441 0.26914926]
 [0.38014963 0.18757178]
 [0.33613978 0.16118199]
 [0.10627418 0.04500569]
 [0.01993404 0.01196304]]",
towerse.post.constr_global_buckling,output,,"[[0.83510456 0.66367515]
 [0.77894626 0.6228039 ]
 [0.69883621 0.56376602]
 [0.68319271 0.55657269]
 [0.49971485 0.42001658]
 [0.34163296 0.314881  ]]",
towerse.tower.f1,output,Hz,[0.28471966],
towerse.tower.f2,output,Hz,[0.29952468],
towerse.tower.structural_frequencies,output,Hz,[0.28471966 0.29952468 1.15579806 1.52584656 2.08805702 4.00096798],
towerse.tower.fore_aft_modes,output,,"[[ 1.18315849e+00 -4.96363418e-01  6.74643791e-01 -3.16047134e-01
  -4.53917248e-02]
 [-1.02872761e+02  1.41829460e+02 -1.52271029e+02  1.98134559e+02
  -8.38202296e+01]
 [-9.87051132e+01  1.47203308e+02  2.16843544e+01 -4.84878125e+01
  -2.06947367e+01]]",
towerse.tower.side_side_modes,output,,"[[ 1.12937103e+00 -4.31146245e-01  5.90053890e-01 -2.15682172e-01
  -7.25964987e-02]
 [ 1.50251297e+01 -1.80501991e+01  2.23886204e+01 -2.69915319e+01
   8.62798089e+00]
 [-6.93968841e+01  1.04601460e+02 -3.00838699e+01  3.72095183e+01
  -4.13302239e+01]]",
towerse.tower.torsion_modes,output,,"[[ 10.1035482  -42.41754984  81.37983221 -71.73393441  23.66810384]
 [  0.           0.           0.           0.           0.        ]
 [  0.           0.           0.           0.           0.        ]]",
towerse.tower.fore_aft_freqs,output,Hz,[0.29952468 2.08805702 4.65125998],
towerse.tower.side_side_freqs,output,Hz,[0.28471966 1.15579806 4.00096798],
towerse.tower.torsion_freqs,output,Hz,[7.63612364 0.         0.        ],
towerse.tower.tower_deflection,output,m,"[[0.         0.        ]
 [0.03188654 0.02288476]
 [0.12388813 0.08883587]
 [0.27422685 0.19643225]
 [0.48335244 0.3457213 ]
 [0.7445208  0.53142941]
 [1.03641681 0.73767571]]",
towerse.tower.top_deflection,output,m,[1.03641681 0.73767571],
towerse.tower.tower_Fz,output,N,"[[-4972076.27502653 -5582894.23697993]
 [-4453250.08472071 -4956352.69969627]
 [-3967685.84805059 -4343564.7134186 ]
 [-3588310.46952875 -3828543.62156728]
 [-3237090.13374174 -3340134.23535901]
 [-2914124.84400512 -2883106.12368949]]",
towerse.tower.tower_Vx,output,N,"[[1285330.91836013  930644.45135909]
 [1286335.79837818  931569.96328973]
 [1287177.39400341  932394.96674691]
 [1287388.29107961  932766.5855324 ]
 [1287799.88838851  933233.69954021]
 [1287882.2630758   933357.37249868]]",
towerse.tower.tower_Vy,output,N,"[[ -21.53975112    9.72450757]
 [ -65.0203353    33.31598827]
 [-111.59204184   59.9744945 ]
 [-140.89014776   81.62307871]
 [-196.86787369  116.9890197 ]
 [-257.90347891  156.09517639]]",
towerse.tower.tower_Mxx,output,N*m,"[[ 4195250.06133678 -1789318.89041207]
 [ 4176562.06504651 -1780372.13665228]
 [ 4145867.27608201 -1765806.84698749]
 [ 4101676.17962577 -1745191.41611634]
 [ 4041357.37979785 -1717780.08550768]
 [ 3963839.89414827 -1683733.94301481]]",
